X1,X2,y,Type
1.0,0.31342762,5.21079577,Train
1.0,0.04782414,4.37474094,Train
1.0,1.2268657,7.73999565,Train
1.0,1.38469515,8.3792456,Train
1.0,1.75658822,9.50016999,Train
1.0,1.74988283,9.53191782,Train
1.0,1.6300326,9.40878204,Train
1.0,0.18128271,4.9897153,Train
1.0,0.51328457,6.43567798,Train
1.0,1.88316285,10.15467997,Train
1.0,1.14420857,8.26414727,Train
1.0,0.02557213,4.8916935,Train
1.0,1.53411299,8.73174881,Train
1.0,1.46835106,8.55450767,Train
1.0,1.49453258,9.45381495,Train
1.0,1.24477314,8.43254879,Train
1.0,0.47649209,5.59676329,Train
1.0,0.09188474,4.31553457,Train
1.0,0.82703643,7.28816196,Train
1.0,1.83853606,10.11714772,Train
1.0,0.8931889,7.39634924,Train
1.0,1.54225257,9.32226055,Train
1.0,1.81850992,9.74541116,Train
1.0,1.01338279,7.83450898,Train
1.0,1.74216094,9.46989244,Train
1.0,1.30432576,8.36981424,Train
1.0,1.36727767,8.92567419,Train
1.0,1.80407737,9.8325159,Train
1.0,1.07911025,8.00684182,Train
1.0,1.64942194,9.02763,Train
1.0,1.25251983,7.80636019,Train
1.0,0.73281532,6.44631222,Train
1.0,1.93516964,9.86734954,Train
1.0,1.03595575,7.25984448,Train
1.0,0.87453052,6.93356015,Train
1.0,1.03890818,7.89065243,Train
1.0,0.99800791,7.50620113,Train
1.0,0.05070974,5.03153733,Train
1.0,1.99191862,10.75339091,Train
1.0,1.65658207,9.83532771,Train
1.0,0.54251883,6.36951141,Train
1.0,0.91226119,7.66056259,Train
1.0,0.90656475,7.3213774,Train
1.0,1.65366782,9.47022322,Train
1.0,0.69116318,6.35712785,Train
1.0,0.25263729,5.35482962,Train
1.0,0.91337924,7.33730987,Train
1.0,0.72498402,6.23695535,Train
1.0,1.13421002,7.8420858,Train
1.0,1.73909897,10.01095852,Train
1.0,1.49253847,8.69453953,Train
1.0,0.36570178,5.25686217,Train
1.0,1.47034778,9.26393493,Train
1.0,0.30677966,5.61836149,Train
1.0,0.6362761,6.26226582,Train
1.0,1.80389637,9.74074861,Train
1.0,0.25697635,5.18427937,Train
1.0,1.73795531,9.66304629,Train
1.0,0.17024139,5.38571381,Train
1.0,0.26164144,5.31875365,Train
1.0,0.52123434,6.07369474,Train
1.0,0.47619993,6.30819939,Train
1.0,1.32811588,8.65124549,Train
1.0,0.3675009,5.39711502,Train
1.0,0.55659176,6.61353368,Train
1.0,0.43668661,5.6492381,Train
1.0,0.16917598,4.63650608,Train
1.0,0.43514433,5.74844749,Train
1.0,1.64600155,9.11335152,Train
1.0,1.54041045,9.49728079,Train
1.0,0.12518601,5.08039233,Train
1.0,0.39261312,5.29420693,Train
1.0,1.57177709,9.01117874,Train
1.0,1.25415105,8.56821239,Train
1.0,1.4303065,9.18765654,Train
1.0,1.06845195,7.89584312,Train
1.0,1.410444,9.166093,Train
1.0,1.67439916,9.18571492,Train
1.0,0.56210324,6.57864815,Train
1.0,0.21991038,5.51593995,Train
1.0,1.7583828,9.59075272,Train
1.0,0.4705514,5.70466851,Train
1.0,1.28090278,8.14760394,Train
1.0,1.64999662,9.84044229,Train
1.0,1.82630533,9.96866153,Train
1.0,0.36168508,5.17223307,Train
1.0,0.80134828,7.05492141,Train
1.0,1.89039803,9.93830475,Train
1.0,0.18967335,4.89885625,Train
1.0,1.61967278,9.25730001,Train
1.0,0.4427477,5.59281834,Train
1.0,1.86376437,10.50488837,Train
1.0,0.1362368,5.27913069,Train
1.0,1.6828569,9.6398727,Train
1.0,1.27401925,8.55682968,Train
1.0,0.66892093,6.86024966,Train
1.0,1.34629978,8.29391294,Train
1.0,1.10984733,8.12210312,Train
1.0,1.05805023,7.47240453,Train
1.0,0.14315242,4.84015591,Train
1.0,0.0,,Predict
1.0,2.0,,Predict
